Name,Description,Quanity,Unit Price,Shipping cost,Total Price(With Shipping),Running Total,Product Links,Notes
Esp32s3-EYE,Camera and for running the code,1,45,0,45,45,https://www.seeedstudio.com/XIAO-ESP32S3-Sense-p-5639.html?srsltid=AfmBOoomwYm-e-0ZVTPMj4O5zk1RsfJ_5KB1I2DqGHGf0ka4pHGvKuG4,No notes
Lipo 3.7V 500mAh battery,For powering all parts of the project,1,8.59,3.26,11.85,57.64,https://www.amazon.com/801350-Lithium-Polymer-Battery-Rechargeable/dp/B0C2KSTN7Q,I used amazon for this so I can still have a 500mAh battery and have enough time to build
Bone Conduction Speaker,To play peoples names,1,2.16,0,2.16,59.94,https://www.aliexpress.us/item/3256809614716496.html?spm=a2g0o.productlist.main.5.5a86ucaqucaq1M&algo_pvid=c0c0b608-64c4-48f8-9c76-a5eb2c6703b8&algo_exp_id=c0c0b608-64c4-48f8-9c76-a5eb2c6703b8-4&pdp_ext_f=%7B%22order%22%3A%2296%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.32%210.99%21%21%2129.29%216.69%21%4021030a4b17793268437012779e720c%2112000050209387332%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A62479115%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262957&curPageLogUid=sKZA58d3EmLT&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009801031248%7C_p_origin_prod%3A,This has 5 speakers but I will only be using 1 and all of the others are more expensive with than this pack
Adafruit Mono Amp,gives the speaker instructions,1,2.64,0,2.64,62.75,https://www.aliexpress.us/item/3256811578520176.html?spm=a2g0o.productlist.main.25.6c08iWrQiWrQSK&algo_pvid=5fe110de-f6f0-45f9-8071-9441a4f54ec3&algo_exp_id=5fe110de-f6f0-45f9-8071-9441a4f54ec3-22&pdp_ext_f=%7B%22order%22%3A%2230%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2126.28%210.99%21%21%21178.19%216.72%21%402103128817793271658717344e6e67%2112000056478246878%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A62479115%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262957&curPageLogUid=CChBUG9uadbR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011764834928%7C_p_origin_prod%3A#nav-specification,This has different positioned pins than the one I have in my wiring plan but it seems that all of them are like this
On/Off Switch,To enable and disable the power.,1,2.81,0,2.81,65.75,https://www.aliexpress.us/item/3256807801613950.html?spm=a2g0o.productlist.main.18.41985XGp5XGphq&aem_p4p_detail=2026052116444513505691178983120000985625&algo_pvid=4659691b-53da-4f48-b3af-1bb7c1fbc8d9&algo_exp_id=4659691b-53da-4f48-b3af-1bb7c1fbc8d9-15&pdp_ext_f=%7B%22order%22%3A%22338%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.86%210.99%21%21%2119.35%216.70%21%40210328db17794070855511818eab5d%2112000043171708112%21sea%21US%217691353004%21ABX%211%210%21n_tag%3A-29910%3Bd%3A62479115%3Bm03_new_user%3A-29895%3BpisId%3A5000000207178484&curPageLogUid=UmSibAmCQbCK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007987928702%7C_p_origin_prod%3A&search_p4p_id=2026052116444513505691178983120000985625_4,This product comes in packs of 5 as a minimum but I will only be using one the reason I picked this one is because it is very small
3.3v ldo regulator,To make the volatage 3.3V,1,1.85,0,1.85,67.72,https://www.aliexpress.us/item/2251801809976592.html?spm=a2g0o.productlist.main.56.502c6575xHuCtL&algo_pvid=21ec8c44-623e-430f-a3e2-3492448629ef&algo_exp_id=21ec8c44-623e-430f-a3e2-3492448629ef-53&pdp_ext_f=%7B%22order%22%3A%2278%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.20%210.99%21%21%211.20%210.99%21%40210328c017793286650997970e3aa8%2167323640621%21sea%21US%217691353004%21ABX%211%210%21n_tag%3A-29910%3Bd%3A62479115%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=MLUUnN5VdEQj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1996291344%7C_p_origin_prod%3A,Choose color MINI 3.3V-5PCS AND it is a pack of 5 but I only need one and this is the cheapest
Soldering iron ,To attach wires to other parts,1,2.75,0,2.75,70.65,https://www.aliexpress.us/item/3256806912901320.html?spm=a2g0o.productlist.main.1.403e42e1jIt01h&algo_pvid=4e8dafe7-b0ba-48ec-bccb-eb1b41b0cccf&algo_exp_id=4e8dafe7-b0ba-48ec-bccb-eb1b41b0cccf-0&pdp_ext_f=%7B%22order%22%3A%2213462%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.46%210.99%21%21%2150.47%216.75%21%40210311cc17794047759165674e2e6b%2112000039398964299%21sea%21US%217691353004%21ABX%211%210%21n_tag%3A-29910%3Bd%3A62479115%3Bm03_new_user%3A-29895%3BpisId%3A5000000207178483&curPageLogUid=uCbCUELEs9hH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007099216072%7C_p_origin_prod%3A,I chose the color 7 in 1 blue EU because it is the same price and gives me some extra attachments but if the sale ends I will get the normal version
Solder,Melted metal to attach wires,1,2.91,0,2.91,73.75,https://www.aliexpress.us/item/3256807971607287.html?spm=a2g0o.productlist.main.6.673c9p5d9p5dpO&algo_pvid=00478121-e439-4bdb-a5fb-eb4f0aa9998b&algo_exp_id=00478121-e439-4bdb-a5fb-eb4f0aa9998b-5&pdp_ext_f=%7B%22order%22%3A%22285%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.12%210.99%21%21%2161.69%216.70%21%402103110517794060172778169ec530%2112000044032225788%21sea%21US%217691353004%21ABX%211%210%21n_tag%3A-29910%3Bd%3A62479115%3Bm03_new_user%3A-29895%3BpisId%3A5000000207178483&curPageLogUid=pQcrFQWQhYSq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008157922039%7C_p_origin_prod%3A,Choose type 50 grams
Heatshrink Tubing,Can cover wires for safety and looks,1,2.68,0,2.68,76.61,https://www.aliexpress.us/item/3256808709374117.html?spm=a2g0o.productlist.main.1.2cf261d6jXnJXN&algo_pvid=aaebbea8-44ee-4dc9-9f79-0e70fcbb3501&algo_exp_id=aaebbea8-44ee-4dc9-9f79-0e70fcbb3501-0&pdp_ext_f=%7B%22order%22%3A%2210869%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.69%210.99%21%21%2131.68%216.65%21%402103212317794062922728179eb5b5%2112000047111301586%21sea%21US%217691353004%21ABX%211%210%21n_tag%3A-29910%3Bd%3A62479115%3Bm03_new_user%3A-29895%3BpisId%3A5000000207178484&curPageLogUid=f3gYQKIKKTDA&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008895688869%7C_p_origin_prod%3A,Choose Color: 127PCS bags Black AND there are 120ish pieces of tubing and I wont use it all but it is the cheapest option availble
Wires,To connect all electrical parts together,1,1.5,0,1.5,78.21,https://www.aliexpress.us/item/3256804564161230.html?spm=a2g0o.productlist.main.4.3f313e81imj7yl&aem_p4p_detail=202605232049137150756811961320001148289&algo_pvid=3da4109d-fc7d-4173-a5ce-6fca94ddeb93&algo_exp_id=3da4109d-fc7d-4173-a5ce-6fca94ddeb93-3&pdp_ext_f=%7B%22order%22%3A%227007%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.81%210.99%21%21%211.81%210.99%21%402103119c17795945534427615e5205%2112000030335587212%21sea%21US%217691353004%21ABX%211%210%21n_tag%3A-29910%3Bd%3A196ccce7%3Bm03_new_user%3A-29895%3BpisId%3A5000000207178484&curPageLogUid=cpI5qmmXqlHe&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004750475982%7C_p_origin_prod%3A&search_p4p_id=202605232049137150756811961320001148289_1,Choose 24 AWG and 5 Meters Color white
Wire Stripper,To remove plastic from wires for easy soldering,1,3.43,0,3.43,81.87,https://www.aliexpress.us/item/3256811641376358.html?spm=a2g0o.productlist.main.18.214b2d85faIPcu&algo_pvid=cd0acd4d-f489-447c-ab46-99e3aa92aa83&aem_p4p_detail=202605232211236739786677356100001290231&algo_exp_id=cd0acd4d-f489-447c-ab46-99e3aa92aa83-15&pdp_ext_f=%7B%22order%22%3A%22210%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.65%213.65%21%21%2158.53%2124.71%21%402103128817795994833016512e9097%2112000056771772076%21sea%21US%217691353004%21ABX%211%210%21n_tag%3A-29910%3Bd%3A62479115%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=Qt32ucLM3CqE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011827691110%7C_p_origin_prod%3A&search_p4p_id=202605232211236739786677356100001290231_5,I am not sure if I am allowed to buy this so this may be removed
Total Cost,The total cost of all items,1,81.87,0,0,,,
